President,Year,Party
Wilson,1913,Democratic
Wilson,1914,Democratic
Wilson,1915,Democratic
Wilson,1916,Democratic
Wilson,1917,Democratic
Wilson,1918,Democratic
Harding,1921,Republican
Harding,1922,Republican
Coolidge,1923,Republican
F.Roosevelt,1934,Democratic
F.Roosevelt,1935,Democratic
F.Roosevelt,1936,Democratic
F.Roosevelt,1937,Democratic
F.Roosevelt,1938,Democratic
F.Roosevelt,1939,Democratic
F.Roosevelt,1940,Democratic
F.Roosevelt,1941,Democratic
F.Roosevelt,1942,Democratic
F.Roosevelt,1943,Democratic
F.Roosevelt,1944,Democratic
F.Roosevelt,1945,Democratic
Truman,1947,Democratic
Truman,1948,Democratic
Truman,1949,Democratic
Truman,1950,Democratic
Truman,1951,Democratic
Truman,1952,Democratic
Eisenhower,1953,Republican
Eisenhower,1954,Republican
Eisenhower,1955,Republican
Eisenhower,1956,Republican
Eisenhower,1957,Republican
Eisenhower,1958,Republican
Eisenhower,1959,Republican
Eisenhower,1960,Republican
Kennedy,1961,Democratic
Kennedy,1962,Democratic
Kennedy,1963,Democratic
Johnson,1964,Democratic
Johnson,1965,Democratic
Johnson,1966,Democratic
Johnson,1967,Democratic
Johnson,1968,Democratic
Johnson,1969,Democratic
Nixon,1970,Republican
Nixon,1971,Republican
Nixon,1972,Republican
Nixon,1974,Republican
Ford,1975,Republican
Ford,1976,Republican
Ford,1977,Republican
Carter,1978,Democratic
Carter,1979,Democratic
Carter,1980,Democratic
Reagan,1981,Republican
Reagan,1982,Republican
Reagan,1983,Republican
Reagan,1984,Republican
Reagan,1985,Republican
Reagan,1986,Republican
Reagan,1987,Republican
Reagan,1988,Republican
Bush,1989,Republican
Bush,1990,Republican
Bush,1991,Republican
Bush,1992,Republican
Clinton,1993,Democratic
Clinton,1994,Democratic
Clinton,1995,Democratic
Clinton,1996,Democratic
Clinton,1997,Democratic
Clinton,1998,Democratic
Clinton,1999,Democratic
Clinton,2000,Democratic
G.W.Bush,2001,Republican
G.W.Bush,2002,Republican
G.W.Bush,2003,Republican
G.W.Bush,2004,Republican
G.W.Bush,2005,Republican
G.W.Bush,2006,Republican
G.W.Bush,2007,Republican
G.W.Bush,2008,Republican
Obama,2009,Democratic
Obama,2010,Democratic
Obama,2011,Democratic
Obama,2012,Democratic
Obama,2013,Democratic
Obama,2014,Democratic
Obama,2015,Democratic
Obama,2016,Democratic
